pkgs,std,max,25%,cut1,75%,10%,count,min,50%,iqr,mean
air.br.com.alelo.mobile.android,87.3720174844,681.502,14.802,-58.4415,63.631,7.1376,185,1.127,29.531,48.829,58.8852054054
br.biblia,392.211717177,3330.354,11.971,-93.560375,82.32525,6.3068,160,1.38,26.975,70.35425,135.17001875
br.com.bb.android,369.046797814,4697.345,50.963,-335.75725,308.7765,22.3141,1214,1.032,127.0305,257.8135,254.472224053
br.com.brainweb.ifood,463.479240204,2864.07,25.0795,-600.206,441.9365,5.8116,128,1.18,173.8885,416.857,342.716242187
br.com.cittabus,330.370465803,1854.736,55.0375,-290.940875,285.68975,29.059,108,2.109,130.8045,230.65225,236.660240741
br.com.gabba.Caixa,385.753313164,3703.41,85.649,-383.5975,398.48,32.463,701,1.037,170.582,312.831,313.25450214
br.com.mobits.cartolafc,236.367592736,4107.864,50.562,-207.1335,222.359,25.1682,1433,1.015,108.013,171.797,177.45874529
br.com.netshoes.app,576.671659169,3154.083,24.265,-466.4375,351.4,4.4806,127,1.011,76.184,327.135,313.335212598
br.com.sicoobnet,300.110849314,1156.093,81.00525,-346.59075,366.06925,27.0074,122,1.062,153.1685,285.064,282.434491803
br.com.timbrasil.meutim,154.150519447,1237.383,31.0305,-129.23325,137.873,17.9604,303,1.282,62.992,106.8425,115.03579538
br.com.vivo,128.558156032,879.894,19.895,-109.7785,106.344,10.7152,357,1.776,41.053,86.449,89.0220364146
com.adobe.reader,1623.49090977,12743.276,25.6155,-299.812125,242.56725,9.5007,274,1.064,83.4175,216.95175,580.647255474
com.alensw.PicFolder,1034.38330315,10979.697,101.293,-796.28,699.675,39.2532,395,1.052,286.366,598.382,618.306291139
com.alibaba.aliexpresshd,1016.08151676,6507.55,33.782,-1037.6335,748.059,4.835,311,1.006,232.586,714.277,635.450205788
com.android.bluetooth,70.1669652936,780.717,2.0885,-21.584125,17.87025,1.4023,308,1.021,4.953,15.78175,24.9931266234
com.android.calculator2,433.144813063,9893.366,22.788,-236.31525,195.5235,8.739,5303,1.008,71.641,172.7355,196.595378654
com.android.captiveportallogin,94.6471851164,1701.539,9.35,-54.142,51.678,3.5322,1425,1.009,21.28,42.328,50.4896526316
com.android.chrome,1969.3125275,46357.904,143.6635,-1757.23175,1410.927,29.0111,15498,1.021,526.4955,1267.2635,1188.01708124
com.android.contacts,160.198121312,4390.793,13.822,-77.5205,74.717,6.156,10531,1.002,31.465,60.895,74.7754017662
com.android.dialer,1454.07636506,26898.745,133.655,-1554.148,1258.857,38.055,18137,1.035,461.622,1125.202,995.355277389
com.android.documentsui,240.752339699,7371.592,5.815,-71.54,57.385,2.7728,2889,1.013,18.438,51.57,74.0658878505
com.android.phone,130.319820034,4240.119,3.2395,-44.5775,35.1175,1.758,2131,1.002,10.753,31.878,42.2312693571
com.android.printspooler,64.4321924363,428.012,3.797,-68.3425,51.89,2.06,121,1.03,10.028,48.093,38.802677686
com.android.providers.media,117.501764047,986.367,9.227,-123.43075,97.6655,3.1962,259,1.072,31.47,88.4385,71.1834054054
com.android.settings,1104.46493827,74323.629,7.54,-138.27425,104.7495,1.779,12295,1.001,32.28,97.2095,131.535297275
com.android.vending,271.309404141,7769.276,7.369,-191.804,140.151,2.612,7789,1.002,39.43,132.782,133.066552703
com.antivirus,662.908601152,9247.124,23.7555,-337.1055,264.3295,6.5268,243,1.157,87.554,240.574,250.432897119
com.apps.go.clean.boost.master,158.964284051,1052.068,24.582,-138.516,133.314,11.6118,145,2.113,55.144,108.732,110.638924138
com.atomicadd.fotos,774.317194405,5349.052,114.3295,-936.579875,814.93575,47.9747,158,2.248,322.865,700.60625,617.312822785
com.avast.android.mobilesecurity,880.500486398,10937.524,28.529,-330.79,268.075,5.3938,633,1.065,113.025,239.546,325.888451817
com.badoo.mobile,1438.82959314,8485.484,152.106,-1534.0335,1276.199,45.583,171,1.783,381.428,1124.093,1045.5267193
com.badpigsoftware.advanced.gallery,1524.43053456,29576.116,76.215,-699.6495,593.458,27.6366,477,1.208,262.002,517.243,552.236748428
com.bestweatherfor.bibleoffline_pt_ra,698.370393409,6529.483,19.43875,-258.464375,204.7075,3.6252,164,1.131,79.29,185.26875,284.942762195
com.bradesco,327.428070362,4176.977,50.209,-283.98875,273.0075,27.7824,1079,1.349,115.101,222.7985,223.084582947
com.bradesco.exclusive,666.81855345,4917.55,93.00525,-488.357625,480.5805,48.089,132,3.869,226.4545,387.57525,417.851537879
com.cam001.selfie,349.922926056,2594.489,40.131,-375.3165,317.096,5.8478,145,1.075,129.484,276.965,251.204041379
com.cartola.premiere.league,400.680641426,1857.913,123.39875,-451.453375,506.6335,59.648,120,4.125,254.295,383.23475,384.269083333
com.cleanmaster.mguard,1485.99517606,21765.99,58.764,-504.96,434.58,15.3748,849,1.123,154.468,375.816,558.208326266
com.cleanmaster.security,1167.85388357,18838.358,29.64,-455.6055,353.137,5.078,1031,1.048,125.963,323.497,416.808170708
com.clue.android,165.654806065,1035.664,10.4165,-161.653,125.1295,3.689,107,1.034,35.067,114.713,105.358560748
com.cyberlink.youcammakeup,433.312893227,2323.481,75.83525,-506.090125,463.7855,20.7831,108,3.088,186.172,387.95025,354.735972222
com.cyworld.camera,863.355959037,14499.262,33.44,-344.713375,285.54225,7.685,336,1.115,101.1065,252.10225,280.000657738
com.dianxinos.optimizer.duplay,1287.03074549,11146.242,39.011,-284.7895,254.878,7.714,187,1.049,114.899,215.867,402.199695187
com.domobile.applock,182.242372699,2684.687,2.465,-29.011,23.449,1.653,405,1.041,5.874,20.984,45.206345679
com.dropbox.android,894.861794468,8297.189,19.28,-286.5595,223.173,4.893,109,1.926,55.576,203.893,292.866211009
com.duolingo,2475.96739327,21268.655,123.952,-2099.669,1606.366,12.0616,109,1.077,577.789,1482.414,1272.46543119
com.estrongs.android.pop,612.223972198,9099.539,22.81275,-391.589625,299.081,5.6352,1502,1.044,108.7955,276.26825,307.227344874
com.facebook.katana,3526.89000552,31809.18,1328.04575,-4871.558875,5461.1155,425.545,16336,1.103,3005.3155,4133.06975,3911.76676022
com.facebook.lite,2764.98296466,15072.417,252.70025,-4170.100375,3201.234,54.788,246,1.413,1026.875,2948.53375,2147.91314634
com.facebook.orca,831.534525795,16342.992,19.21,-327.719,250.496,5.6678,9573,1.001,72.544,231.286,305.70464755
com.firsttouchgames.dls3,2952.81852627,18426.671,616.724,-3420.4015,3308.141,58.845,201,2.831,1463.187,2691.417,2469.58287562
com.flayvr.flayvr,1063.65080593,11721.909,110.011,-953.9825,819.34,36.7896,1509,1.003,331.885,709.329,685.639361829
com.forshared,424.968781046,3300.346,17.283,-414.2535,304.974,3.3994,388,1.001,92.0905,287.691,259.098518041
com.fourtaps.brpro,187.091534617,1563.715,34.048,-137.07275,148.1285,16.3571,174,1.397,76.7235,114.0805,124.319063218
com.ftw_and_co.happn,618.311016577,3772.244,74.579,-488.038,449.657,37.118,119,4.793,177.235,375.078,385.540932773
com.globo.globotv,1886.23191968,13766.006,22.32675,-1456.466625,1008.189,4.0278,134,1.115,152.2235,985.86225,928.242597015
com.google.android.apps.docs,854.332407852,15523.899,19.003,-275.2895,215.198,5.0306,3027,1.005,69.861,196.195,304.50572481
com.google.android.apps.docs.editors.docs,787.712383839,6540.036,22.924,-362.813,280.082,6.303,181,1.041,78.207,257.158,337.764895028
com.google.android.apps.maps,1464.20074097,21549.11,16.569,-439.557,320.653,3.893,2561,1.005,80.009,304.084,490.585349082
com.google.android.apps.messaging,446.786790731,16935.044,11.4335,-129.40975,105.329,4.3334,9778,1.001,33.511,93.8955,133.697083044
com.google.android.apps.photos,857.319900431,17131.704,80.29075,-735.933875,624.4405,25.137,14804,1.036,246.845,544.14975,532.627186098
com.google.android.apps.translate,493.494578892,4224.762,15.999,-262.449,201.631,5.8038,423,1.015,51.705,185.632,230.77192435
com.google.android.calculator,268.376615144,4308.974,21.26325,-172.044,150.13475,8.6825,916,1.023,61.565,128.8715,138.759447598
com.google.android.calendar,167.996965432,4092.537,9.15375,-76.235625,66.08,3.2798,3550,1.001,27.0285,56.92625,71.6202501408
com.google.android.deskclock,476.671033061,21084.489,18.77125,-89.023625,90.6345,10.153,12706,1.007,40.168,71.86325,130.482188258
